,Index,Open Index Value,High Index Value,Low Index Value,Close,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield,TIMESTAMP,rt,rt2,sigma2,sigma3,sigma5,sigma20,sigma60,sigma110
0,Nifty 50,18131.7,18215.15,18086.5,18197.45,92.15,.51,256073979,11793.06,21.9,4.27,1.26,2023-01-02,0.51,0.2601,,,,,,
104,Nifty 50,18163.2,18251.95,18149.8,18232.55,35.1,.19,208699772,13680.91,21.94,4.28,1.26,2023-01-03,0.19,0.0361,3.591991091302984,,,,,
208,Nifty 50,18230.65,18243,18020.6,18042.95,-189.6,-1.04,235162202,16687.71,21.71,4.23,1.27,2023-01-04,-1.04,1.0816000000000001,13.806715757195844,12.990288680395059,,,,
312,Nifty 50,18101.95,18120.3,17892.6,17992.15,-50.8,-.28,269949738,22108.53,21.65,4.22,1.28,2023-01-05,-0.28,0.07840000000000001,8.530978841844586,9.852857453551227,,,,
416,Nifty 50,18008.05,18047.4,17795.55,17859.45,-132.7,-.74,238220578,17495.25,21.49,4.19,1.29,2023-01-06,-0.74,0.5476,5.163487193748036,6.076709635978994,10.145661141591512,,,
520,Nifty 50,17952.55,18141.4,17936.15,18101.2,241.75,1.35,257237669,19916.16,21.78,4.25,1.27,2023-01-09,1.35,1.8225000000000002,23.460191815072612,17.433794767634502,14.874930588073346,,,
624,Nifty 50,18121.3,18127.6,17856,17914.15,-187.05,-1.03,283277918,20570.3,21.56,4.2,1.28,2023-01-10,-1.03,1.0609,26.715433741565946,20.61303471107542,15.845669439944785,,,
728,Nifty 50,17924.25,17976.35,17824.35,17895.7,-18.45,-.1,259853294,20204.33,21.52,4.2,1.28,2023-01-11,-0.1,0.010000000000000002,10.43922410909929,19.040367643509413,14.617051686301176,,,
832,Nifty 50,17920.85,17945.8,17761.65,17858.2,-37.5,-.21,227769060,19762.43,21.47,4.19,1.29,2023-01-12,-0.21,0.04409999999999999,1.2347469376353395,8.066895313563952,14.589268658846475,,,
936,Nifty 50,17867.5,17999.35,17774.25,17956.6,98.4,.55,256700729,21341.7,21.54,4.21,1.28,2023-01-13,0.55,0.30250000000000005,8.530978841844577,6.520153372429216,14.14809669178155,,,
1040,Nifty 50,18033.15,18049.65,17853.65,17894.85,-61.75,-.34,206195816,16728.37,21.34,4.19,1.38,2023-01-16,-0.34,0.11560000000000002,9.990225222686416,7.631330159284165,8.971976370900672,,,
1144,Nifty 50,17922.8,18072.05,17886.95,18053.3,158.45,.89,219055125,17461.09,21.53,4.23,1.37,2023-01-17,0.89,0.7921,13.806715757195839,10.082916244817277,8.472735095587492,,,
1248,Nifty 50,18074.3,18183.75,18032.45,18165.35,112.05,.62,255840928,20500.07,21.67,4.26,1.36,2023-01-18,0.62,0.3844,3.0307424832868697,10.262105047211323,8.631850323076739,,,
1352,Nifty 50,18119.8,18155.2,18063.75,18107.85,-57.5,-.32,237833991,18413.13,21.56,4.24,1.37,2023-01-19,-0.32,0.1024,10.551473830702509,10.082916244817275,9.06724875582445,,,
1456,Nifty 50,18115.6,18145.45,18016.2,18027.65,-80.2,-.44,237225269,19519.96,21.46,4.23,1.36,2023-01-20,-0.44,0.1936,1.3469966592385787,9.214510296266429,9.89607194800038,,,
1560,Nifty 50,18118.45,18162.6,18063.45,18118.55,90.9,.5,202460434,17060.12,21.6,4.25,1.35,2023-01-23,0.5,0.25,10.551473830702509,8.121379193215892,9.424966843443006,,,
1664,Nifty 50,18183.95,18201.25,18078.65,18118.3,-0.25,0,216910302,19705.91,21.49,4.25,1.36,2023-01-24,0.0,0.0,5.6124860801609,7.4660833105450966,7.548658158904801,,,
1768,Nifty 50,18093.35,18100.6,17846.15,17891.95,-226.35,-1.25,257227052,20890.56,21.19,4.19,1.37,2023-01-25,-1.25,1.5625,14.03121520040228,14.309088021254185,10.2032465421551,,,
