Index Name,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield,TIMESTAMP
Nifty 50,18368.35,18508.55,18333.15,18499.35,178.2,.97,198668359,19094.08,21.54,4.33,1.34,2023-05-26
Nifty Next 50,41225.5,41710.85,41186.35,41684.7,471.4,1.14,255688893,9422.18,27.5,4.64,1.47,2023-05-26
Nifty 100,18256.15,18400.7,18223.3,18393.05,179.45,.99,454357252,28516.26,22.38,4.42,1.34,2023-05-26
Nifty 200,9619.75,9695.4,9606,9690.95,92.25,.96,966902082,37921.62,22.47,4.14,1.33,2023-05-26
Nifty 500,15589.5,15704,15567.85,15696.75,141.5,.91,1555175547,47282.85,22.41,4.11,1.31,2023-05-26
Nifty Midcap 50,9342.15,9435.3,9340.45,9428.6,96.6,1.04,297277265,5490.66,22.66,2.74,1.31,2023-05-26
NIFTY Midcap 100,33199.8,33454.75,33180,33425.1,268.0,.81,512544830,9405.36,23.01,2.97,1.26,2023-05-26
NIFTY Smallcap 100,9985.15,10024.2,9967.65,10010.8,52.85,.53,384718714,4286.2,18.33,3.07,1.4,2023-05-26
Nifty50 Dividend Points,-,-,-,45.48,0.0,-,-,-,-,-,-,2023-05-26
Nifty Auto,14063.4,14150,14017.65,14130.45,100.95,.72,53994145,2695.33,29.62,5.47,.94,2023-05-26
Nifty Bank,43765.35,44067.6,43588.8,44018.0,336.6,.77,143222738,6120.71,16.42,2.86,.58,2023-05-26
Nifty Energy,24164.05,24270.45,24098.3,24238.9,167.2,.69,58632313,2648.16,12.15,2.22,3.13,2023-05-26
Nifty Financial Services,19276.5,19391.45,19200.65,19370.5,131.2,.68,75200503,8225.66,18.1,3.76,.95,2023-05-26
Nifty FMCG,49802.7,50425.15,49654.6,50388.0,731.0,1.47,26956302,2265.77,43.51,12.52,1.27,2023-05-26
Nifty IT,28975.95,29384.85,28975.95,29355.9,427.15,1.48,17548870,2926.93,25.53,8.22,2.36,2023-05-26
Nifty Media,1685.05,1736,1684.95,1729.95,37.95,2.24,63830834,1087.66,-,2.66,.74,2023-05-26
Nifty Metal,5888.65,5948.4,5876.45,5935.4,62.85,1.07,133426293,2994.01,16.14,1.88,4.26,2023-05-26
Nifty MNC,20480.7,20683.9,20459.9,20667.75,248.2,1.22,37443519,2926.21,37.32,7.54,2.55,2023-05-26
Nifty Pharma,12447.55,12628.15,12414.4,12601.55,146.05,1.17,17410932,1487.02,31.91,4.3,1.03,2023-05-26
Nifty PSU Bank,3975.8,4023.75,3973.1,4017.2,47.95,1.21,98688834,1401.2,7.56,1.07,1.32,2023-05-26
Nifty Realty,467.7,473.9,464.8,472.55,5.85,1.25,26687665,766.22,37.89,3.52,.3,2023-05-26
Nifty India Consumption,7819.2,7871.8,7800.75,7867.8,58.95,.75,106398467,8050.68,39.33,8.55,.95,2023-05-26
Nifty Commodities,5818.6,5864.8,5810.2,5860.7,60.05,1.04,145735825,5394.42,15.22,2.24,2.79,2023-05-26
Nifty Dividend Opportunities 50,4062.75,4096.55,4062.75,4094.85,38.4,.95,314832562,7567.68,15.93,2.89,3.49,2023-05-26
Nifty Infrastructure,5437.65,5462.25,5424.85,5459.9,44.2,.82,122438802,5989.7,21.44,3.08,1.38,2023-05-26
Nifty PSE,4811.45,4823,4789.1,4804.9,0.15,0,148369899,2223.05,8.88,1.53,4.67,2023-05-26
Nifty Services Sector,24028.65,24172.7,23965.3,24151.95,168.85,.7,117374580,12364.5,20.3,4.27,1.38,2023-05-26
Nifty50 Shariah,-,-,-,3881.91,39.88,1.04,75382952,5509.39,22.61,5.18,2.36,2023-05-26
Nifty500 Shariah,-,-,-,5191.72,48.84,.95,404324726,19181.37,25.99,5.16,1.69,2023-05-26
Nifty Low Volatility 50,-,-,-,16684.45,148.0,.89,118197930,14322.87,29.01,5.07,1.49,2023-05-26
Nifty Alpha 50,28634.85,28868.85,28613.1,28844.55,284.5,1,274609530,6347.76,15.46,2.42,1.32,2023-05-26
Nifty High Beta 50,-,-,-,2315.33,15.36,.67,520755170,12826.77,16.97,1.88,1.66,2023-05-26
Nifty100 Equal Weight,20974.95,21144.65,20948.4,21134.3,186.65,.89,454357252,28516.26,24.39,4.48,1.44,2023-05-26
Nifty100 Liquid 15,4780.9,4825,4777.65,4821.5,50.85,1.07,80464089,6897.16,22.45,3.72,.81,2023-05-26
Nifty CPSE,3135.35,3142.7,3116.9,3131.6,-2.25,-.07,57936929,804.94,7.66,1.77,5.92,2023-05-26
Nifty50 Value 20,9526.85,9606.65,9526.85,9601.15,88.9,.93,100786005,4828.28,18.65,4.1,2.8,2023-05-26
