,S,K,T,ANN_price
169655,21150.15,22600.0,8,2.3
156209,20096.6,21100.0,15,7.13
125267,19716.45,17500.0,92,2523.17
116112,19727.05,21000.0,203,440.69
174663,21778.7,21650.0,63,581.78
119409,20103.1,20000.0,42,427.54
168524,21453.1,20650.0,2,834.87
120719,20133.3,18600.0,38,1684.66
175496,21731.4,22050.0,90,442.86
171536,21349.4,20550.0,13,908.8
112129,19347.45,20050.0,57,122.86
99744,19381.65,19250.0,56,534.49
125027,19716.45,17800.0,29,2005.47
74778,18688.1,19000.0,0,10.1
161645,20901.15,20500.0,0,479.01
107648,19396.45,20700.0,2,0.98
95515,19659.9,17850.0,7,1865.86
78067,18771.25,20200.0,0,0.35
140881,19047.25,13000.0,62,6053.63
96466,19646.05,20600.0,20,9.94
154418,19802.0,21100.0,63,46.04
117050,19996.35,20400.0,17,46.47
123435,19674.55,21000.0,17,4.69
85706,19331.8,18100.0,20,1320.4
173246,21654.75,22200.0,8,26.98
118397,20070.0,18700.0,15,1428.38
98946,19526.55,24000.0,57,5.24
123424,19674.55,20250.0,17,29.76
118143,20070.0,18900.0,1,1212.47
144952,19411.75,18550.0,3,885.47
81195,18972.1,17550.0,29,1517.51
110825,19306.05,20050.0,59,118.82
146537,19443.5,18950.0,8,573.41
100559,19517.0,19650.0,83,487.9
104768,19434.55,19550.0,73,438.32
144192,19133.25,17000.0,147,2625.71
157213,20133.15,20850.0,28,36.45
137034,19624.7,19950.0,42,214.97
91717,19833.15,20150.0,15,55.71
151313,19731.8,21000.0,34,14.09
119020,20103.1,19850.0,7,339.31
130014,19545.75,19000.0,175,1395.69
97635,19733.55,19350.0,2,421.56
166409,21182.7,22050.0,21,25.62
152330,19783.4,20700.0,2,3.68
149394,19675.45,18500.0,8,1210.61
138111,19281.75,19550.0,10,68.18
103132,19543.1,18550.0,21,1088.39
116188,19819.95,20450.0,6,7.39
114497,19574.9,19850.0,23,122.41
172638,21441.35,18400.0,30,3155.03
104891,19465.0,18750.0,1,716.9
122748,19674.25,21500.0,20,2.88
73840,18716.15,18900.0,23,155.22
131978,19689.85,20250.0,51,161.68
117706,19993.2,19400.0,16,703.59
117458,19993.2,19400.0,2,629.12
137833,19542.65,21150.0,69,28.07
149994,19675.45,25000.0,134,13.11
135816,19671.1,19100.0,1,625.47
121103,19901.4,18850.0,8,1123.48
97172,19753.8,20300.0,17,30.2
111641,19347.45,20600.0,1,0.97
173568,21654.75,22200.0,29,87.27
117073,19996.35,22000.0,17,2.45
84271,19398.5,19350.0,29,313.3
106258,19365.25,19000.0,133,1067.29
159472,20686.8,20950.0,52,317.2
86358,19355.9,20150.0,10,6.38
91439,19833.15,21100.0,1,0.97
101584,19570.85,19300.0,16,423.92
94006,19672.35,20600.0,10,5.75
116197,19819.95,20900.0,6,2.89
173000,21654.75,19650.0,1,2105.31
130085,19653.5,19900.0,6,41.67
108657,19444.0,15000.0,36,4467.11
165485,20926.35,22050.0,22,9.71
107555,19393.6,25000.0,129,12.49
175489,21731.4,21600.0,90,728.74
131522,19689.85,20550.0,2,3.9
79772,18691.2,17400.0,31,1406.19
155603,19889.7,20000.0,30,246.28
134069,19751.05,21150.0,20,5.28
112015,19347.45,21100.0,29,4.9
147174,19395.3,20050.0,0,4.78
153699,19811.85,18000.0,218,2552.07
132358,19811.35,19850.0,8,134.42
133509,19794.0,19200.0,49,880.12
126197,19638.3,21250.0,6,1.22
126472,19638.3,17750.0,27,1973.02
122622,19674.25,20200.0,13,29.52
80049,18817.4,17700.0,2,1099.07
75556,18826.0,16900.0,13,1971.87
134055,19751.05,20400.0,20,30.07
155179,19889.7,18800.0,2,1129.74
76644,18755.45,17500.0,192,2000.26
116387,19819.95,18700.0,20,1188.25
143096,18989.15,21550.0,29,2.61
118540,20070.0,19450.0,22,746.17
83366,19389.0,20300.0,23,14.46
166580,21182.7,22200.0,42,45.97
131207,19512.35,21100.0,31,6.95
74762,18688.1,18200.0,0,518.55
146920,19443.5,19300.0,50,506.93
155180,19889.7,18850.0,2,1078.37
153642,19811.85,20700.0,64,109.7
132837,19811.35,20000.0,78,428.58
104327,19434.55,20250.0,10,6.41
136245,19671.1,18300.0,43,1557.55
113112,19435.3,19750.0,13,50.61
152653,19783.4,19950.0,23,186.26
122434,19674.25,18000.0,6,1720.22
166040,21182.7,19800.0,7,1439.46
120283,20133.3,19250.0,3,904.38
117032,19996.35,19500.0,17,616.0
166563,21182.7,21350.0,42,320.08
91324,19749.25,19000.0,163,1505.12
140514,19047.25,19650.0,13,25.52
81531,19189.05,19800.0,6,7.75
147802,19395.3,19200.0,77,684.3
124948,19716.45,19600.0,22,320.37
119670,20192.35,21450.0,6,1.84
168492,21418.65,26000.0,374,176.57
148711,19443.55,20200.0,10,7.87
85724,19331.8,19000.0,20,500.23
125552,19523.55,20750.0,7,1.99
90681,19749.25,20900.0,2,1.27
105852,19365.25,19300.0,14,228.41
103746,19428.3,16800.0,20,2686.11
106960,19393.6,18700.0,3,704.97
160685,20855.1,25000.0,387,208.94
164486,20906.4,21900.0,16,8.38
110314,19306.05,19000.0,3,357.87
96235,19646.05,20250.0,6,8.2
80422,18817.4,20100.0,23,6.42
115475,19727.05,19500.0,0,275.74
159050,20686.8,21000.0,24,144.44
104319,19434.55,19850.0,10,28.93
109834,19265.8,19700.0,13,31.29
144912,19230.6,19000.0,237,1399.6
133176,19794.0,21300.0,7,1.64
116203,19819.95,21200.0,6,1.61
124025,19664.7,20750.0,9,4.01
167858,21418.65,21650.0,10,89.76
117911,19993.2,18000.0,44,2140.52
121819,19742.35,18850.0,7,951.39
165306,20926.35,20550.0,15,525.63
129934,19545.75,20000.0,84,324.04
144999,19411.75,20900.0,3,1.16
141933,19079.6,21150.0,2,0.31
112698,19253.8,19800.0,28,58.21
100326,19517.0,20600.0,27,13.56
97086,19753.8,20900.0,10,3.58
128405,19436.1,21250.0,22,3.27
125161,19716.45,19650.0,36,377.84
80735,18972.1,16100.0,0,2831.56
102589,19632.55,20650.0,50,56.84
154282,19802.0,19750.0,35,373.33
146314,19406.7,20000.0,79,249.92
172204,21441.35,21950.0,2,11.5
162036,20901.15,18300.0,21,2696.99
148586,19443.55,19650.0,3,32.24
88775,19413.75,20550.0,14,4.99
109693,19265.8,20050.0,6,5.35
91804,19833.15,20200.0,22,73.05
107889,19396.45,20300.0,16,8.02
166260,21182.7,22400.0,14,5.89
93773,19745.0,19500.0,887,3325.81
80258,18817.4,19800.0,9,4.18
151059,19731.8,20250.0,13,30.82
115035,19611.05,19450.0,15,310.53
160718,20937.7,19450.0,1,1497.46
80415,18817.4,18900.0,23,200.06
103543,19428.3,19100.0,6,413.62
157778,20267.9,21150.0,20,16.59
76431,18755.45,19000.0,31,179.92
93067,19745.0,19800.0,6,123.02
115607,19727.05,20100.0,7,24.5
172711,21441.35,22800.0,30,12.2
78614,18771.25,18850.0,70,446.66
167180,21456.65,22000.0,20,47.03
102921,19543.1,19050.0,7,567.82
141686,19140.9,20400.0,59,50.25
129617,19545.75,19500.0,21,275.26
76459,18755.45,18300.0,38,693.6
79565,18691.2,18450.0,10,337.4
102422,19632.55,20600.0,22,11.5
114819,19611.05,18850.0,1,770.41
103049,19543.1,20150.0,14,23.6
109230,19386.7,19850.0,14,30.84
131877,19689.85,20900.0,23,7.44
173363,21654.75,22000.0,15,82.64
147933,19425.35,20350.0,6,4.46
96607,19646.05,21200.0,34,8.02
105022,19465.0,19500.0,8,124.12
130909,19512.35,20000.0,10,26.36
105715,19365.25,18900.0,7,533.07
84273,19398.5,19500.0,29,232.37
85191,19497.3,19450.0,56,448.78
174988,21731.4,21600.0,13,306.37
155200,19889.7,19850.0,2,125.87
137800,19542.65,19450.0,69,561.28
164491,20906.4,22150.0,16,6.01
103649,19428.3,18950.0,13,593.6
73446,18716.15,17400.0,2,1327.37
158079,20267.9,20800.0,55,180.9
147283,19395.3,18750.0,7,726.39
166674,21182.7,21100.0,77,621.95
139695,18857.25,20500.0,7,1.38
100457,19517.0,19800.0,55,289.15
169827,21150.15,22550.0,15,4.98
169000,21453.1,21850.0,23,98.6
160274,20855.1,21150.0,23,136.49
118803,20070.0,17500.0,106,2906.11
127685,19436.1,20600.0,1,1.23
113695,19528.8,18500.0,10,1056.09
90637,19749.25,18700.0,2,1039.02
136569,19624.7,20800.0,0,0.85
143610,19133.25,20300.0,7,2.54
156997,20133.15,19850.0,14,429.87
174846,21731.4,22050.0,6,36.5
97779,19733.55,19950.0,9,62.4
104308,19434.55,19300.0,10,247.43
75249,18688.1,19100.0,42,165.9
171335,21349.4,19550.0,6,1844.84
99162,19381.65,19400.0,0,88.98
141918,19079.6,20400.0,2,1.06
88595,19413.75,18950.0,7,528.96
94539,19680.6,16650.0,2,3095.05
103812,19428.3,21050.0,20,3.43
126737,19638.3,19300.0,90,847.66
145078,19411.75,18900.0,10,616.78
77890,18856.85,18700.0,71,596.14
89397,19564.5,19400.0,13,283.61
146796,19443.5,21450.0,22,2.74
81356,18972.1,19150.0,64,356.51
112291,19253.8,19750.0,0,5.08
84890,19497.3,19700.0,14,87.58
121452,19901.4,20700.0,36,52.43
101375,19570.85,19550.0,2,115.71
125658,19523.55,20150.0,14,23.95
73706,18716.15,18150.0,16,667.48
128367,19436.1,20300.0,22,21.91
120584,20133.3,20700.0,17,30.16
164954,20906.4,23000.0,380,690.15
153524,19811.85,20600.0,36,50.56
135184,19811.5,21400.0,2,0.8
155576,19889.7,18500.0,30,1518.59
104454,19434.55,20550.0,17,6.22
82729,19322.55,20000.0,59,130.5
153492,19811.85,18800.0,36,1184.98
156716,20133.15,19200.0,0,951.28
114429,19574.9,20800.0,16,5.15
143621,19133.25,20850.0,7,1.32
114919,19611.05,17950.0,8,1668.46
140216,18857.25,20850.0,63,12.62
149302,19675.45,20100.0,1,8.92
167625,21418.65,18500.0,3,2972.7
163497,20997.1,21050.0,10,151.03
143315,18989.15,18500.0,85,975.14
132341,19811.35,19000.0,8,851.37
158063,20267.9,20000.0,55,625.62
134615,19731.75,20600.0,10,6.51
120458,20133.3,20850.0,10,8.54
142992,18989.15,20200.0,22,7.18
139700,18857.25,20750.0,7,1.13
86949,19439.4,18650.0,2,809.41
138347,19281.75,20800.0,31,7.57
151484,19731.8,20200.0,69,271.95
122495,19674.25,21200.0,6,1.47
142263,19079.6,17750.0,30,1473.31
87445,19439.4,20050.0,51,131.25
75803,18826.0,18700.0,34,393.04
102793,19543.1,19200.0,0,396.74
150655,19765.2,19900.0,42,319.87
77801,18856.85,19100.0,36,209.16
166464,21182.7,21200.0,28,307.49
119151,20103.1,19500.0,14,702.55
85141,19497.3,20800.0,28,7.83
149067,19443.55,20250.0,45,80.57
165334,20926.35,21950.0,15,7.39
116168,19819.95,19450.0,6,423.58
101144,19597.3,19600.0,52,417.89
126506,19638.3,19800.0,27,202.53
