,S,K,T,GRU_price
0,19731.8,20900.0,69.0,70.37
1,19694.0,19100.0,10.0,558.82
2,19281.75,19750.0,66.0,199.38
3,18755.45,19000.0,31.0,126.65
4,19632.55,19900.0,50.0,217.48
5,18816.7,17500.0,9.0,1300.2
6,19783.4,19700.0,65.0,502.19
7,19901.4,20350.0,15.0,41.74
8,19659.9,19400.0,35.0,470.06
9,19993.2,19300.0,79.0,1015.09
10,19727.05,20050.0,48.99999999999999,169.8
11,19794.7,20150.0,13.0,38.49
12,19413.75,19700.0,7.0,25.68
13,19281.75,25000.0,430.0,81.19
14,19671.1,20500.0,29.0,2.43
15,19381.65,20250.0,0.0,2.43
16,19133.25,19900.0,14.0,2.43
17,18665.5,18950.0,6.0,28.19
18,19393.6,20950.0,10.0,2.43
19,19674.55,22000.0,185.0,119.38
20,18816.7,20000.0,100.0,112.18
21,18716.15,18000.0,562.0,2661.19
22,19646.05,19550.0,20.0,253.87
23,20997.1,20900.0,3.0,186.62
24,21441.35,20500.0,9.0,957.38
25,20969.4,22200.0,83.0,137.95
26,19731.8,18950.0,13.0,766.0
27,19742.35,20550.0,35.0,28.66
28,19624.7,20900.0,42.0,2.43
29,19819.95,21200.0,13.0,2.43
30,19979.15,20400.0,70.0,263.06
31,21654.75,22900.0,8.0,2.43
32,19355.9,18800.0,10.0,519.4
33,18771.25,18650.0,21.0,261.32
34,19711.45,19350.0,10.0,346.06
35,19672.35,20100.0,24.0,74.15
36,19543.1,19800.0,21.0,78.03
37,19783.4,19700.0,9.0,166.49
38,19778.3,18800.0,8.0,913.32
39,19727.05,21000.0,0.0,2.43
40,18688.1,18950.0,7.0,34.49
41,20997.1,22400.0,17.0,2.43
42,21441.35,25000.0,184.0,92.34
43,19659.9,19200.0,63.00000000000001,798.74
44,19253.8,19200.0,21.0,224.97
45,18716.15,18900.0,23.0,101.13
46,21456.65,21750.0,13.0,94.57
47,19435.3,23000.0,118.00000000000001,2.43
48,19395.3,19100.0,48.99999999999999,548.82
49,20937.7,21850.0,8.0,2.43
50,19742.35,19550.0,0.0,194.09
51,19140.9,18100.0,3.0,967.51
52,19811.5,19600.0,16.0,270.9
53,19543.1,21000.0,231.0,444.71
54,19465.0,19350.0,1.0,119.19
55,20901.15,19900.0,7.0,994.17
56,19465.0,19000.0,498.0,2370.1
57,19745.0,19150.0,40.99999999999999,806.18
58,19819.95,20500.0,48.0,72.55
59,19047.25,18600.0,34.0,577.59
60,20133.3,20650.0,3.0,2.43
61,21182.7,20900.0,42.0,607.44
62,20901.15,22250.0,21.0,2.43
63,19996.35,17700.0,17.0,2294.56
64,19802.0,19750.0,7.0,136.43
65,20906.4,20550.0,2.0,365.64
66,20906.4,20550.0,44.0,663.08
67,19189.05,17200.0,27.0,1991.01
68,19664.7,16000.0,93.0,3968.82
69,18755.45,18300.0,38.0,617.61
70,18691.2,19300.0,10.0,2.43
71,19680.6,19150.0,2.0,456.49
72,18716.15,18650.0,79.0,520.35
73,19671.1,20200.0,43.00000000000001,91.4
74,19439.4,19450.0,9.0,111.73
75,19716.45,19600.0,29.0,291.36
76,19811.85,18800.0,8.0,971.46
77,19749.25,19150.0,44.0,761.26
78,19694.0,18300.0,38.0,1514.41
79,19140.9,18750.0,3.0,342.61
80,19833.15,19500.0,889.0,3333.95
81,20997.1,21350.0,10.0,56.5
82,19543.1,19800.0,48.99999999999999,226.31
83,18691.2,21000.0,94.00000000000001,2.43
84,19306.05,25000.0,121.99999999999999,2.43
85,19574.9,18400.0,23.0,1181.94
86,19528.75,19550.0,16.0,154.97
87,19443.55,19550.0,73.0,428.64
88,19671.1,20600.0,43.00000000000001,24.13
