,S,K,T,LSTM_price
0,19731.8,20900.0,69.0,88.22
1,19694.0,19100.0,10.0,616.97
2,19281.75,19750.0,66.0,242.06
3,18755.45,19000.0,31.0,166.26
4,19632.55,19900.0,50.0,261.21
5,18816.7,17500.0,9.0,1304.11
6,19783.4,19700.0,65.0,541.69
7,19901.4,20350.0,15.0,53.88
8,19659.9,19400.0,35.0,471.57
9,19993.2,19300.0,79.0,1036.66
10,19727.05,20050.0,48.99999999999999,213.28
11,19794.7,20150.0,13.0,73.92
12,19413.75,19700.0,7.0,41.71
13,19281.75,25000.0,430.0,33.78
14,19671.1,20500.0,29.0,9.08
15,19381.65,20250.0,0.0,8.46
16,19133.25,19900.0,14.0,8.91
17,18665.5,18950.0,6.0,58.65
18,19393.6,20950.0,10.0,6.99
19,19674.55,22000.0,185.0,143.75
20,18816.7,20000.0,100.0,157.75
21,18716.15,18000.0,562.0,2609.78
22,19646.05,19550.0,20.0,267.13
23,20997.1,20900.0,3.0,234.63
24,21441.35,20500.0,9.0,1010.94
25,20969.4,22200.0,83.0,174.28
26,19731.8,18950.0,13.0,781.54
27,19742.35,20550.0,35.0,42.7
28,19624.7,20900.0,42.0,8.34
29,19819.95,21200.0,13.0,7.54
30,19979.15,20400.0,70.0,296.84
31,21654.75,22900.0,8.0,7.91
32,19355.9,18800.0,10.0,545.74
33,18771.25,18650.0,21.0,299.19
34,19711.45,19350.0,10.0,393.26
35,19672.35,20100.0,24.0,94.81
36,19543.1,19800.0,21.0,111.88
37,19783.4,19700.0,9.0,210.07
38,19778.3,18800.0,8.0,927.58
39,19727.05,21000.0,0.0,7.5
40,18688.1,18950.0,7.0,59.56
41,20997.1,22400.0,17.0,7.7
42,21441.35,25000.0,184.0,79.17
43,19659.9,19200.0,63.00000000000001,795.69
44,19253.8,19200.0,21.0,254.33
45,18716.15,18900.0,23.0,153.28
46,21456.65,21750.0,13.0,150.72
47,19435.3,23000.0,118.00000000000001,7.23
48,19395.3,19100.0,48.99999999999999,602.86
49,20937.7,21850.0,8.0,8.59
50,19742.35,19550.0,0.0,227.13
51,19140.9,18100.0,3.0,974.53
52,19811.5,19600.0,16.0,312.84
53,19543.1,21000.0,231.0,493.87
54,19465.0,19350.0,1.0,168.85
55,20901.15,19900.0,7.0,1002.02
56,19465.0,19000.0,498.0,2345.11
57,19745.0,19150.0,40.99999999999999,746.92
58,19819.95,20500.0,48.0,104.71
59,19047.25,18600.0,34.0,539.14
60,20133.3,20650.0,3.0,9.4
61,21182.7,20900.0,42.0,595.94
62,20901.15,22250.0,21.0,7.8
63,19996.35,17700.0,17.0,2263.08
64,19802.0,19750.0,7.0,192.08
65,20906.4,20550.0,2.0,411.46
66,20906.4,20550.0,44.0,692.18
67,19189.05,17200.0,27.0,1975.92
68,19664.7,16000.0,93.0,3872.18
69,18755.45,18300.0,38.0,635.43
70,18691.2,19300.0,10.0,9.38
71,19680.6,19150.0,2.0,484.76
72,18716.15,18650.0,79.0,567.68
73,19671.1,20200.0,43.00000000000001,119.8
74,19439.4,19450.0,9.0,153.03
75,19716.45,19600.0,29.0,332.58
76,19811.85,18800.0,8.0,1011.48
77,19749.25,19150.0,44.0,784.56
78,19694.0,18300.0,38.0,1523.36
79,19140.9,18750.0,3.0,368.13
80,19833.15,19500.0,889.0,3283.71
81,20997.1,21350.0,10.0,93.39
82,19543.1,19800.0,48.99999999999999,261.52
83,18691.2,21000.0,94.00000000000001,7.12
84,19306.05,25000.0,121.99999999999999,7.84
85,19574.9,18400.0,23.0,1218.15
86,19528.75,19550.0,16.0,176.41
87,19443.55,19550.0,73.0,448.49
88,19671.1,20600.0,43.00000000000001,27.87
89,18716.15,18150.0,16.0,620.24
90,19674.55,23000.0,3.0,6.74
91,19733.55,20000.0,240.0,1084.53
92,20192.35,19250.0,6.0,942.24
93,19355.9,20800.0,24.0,7.58
94,19751.05,21100.0,48.0,8.31
95,19731.75,20100.0,24.0,96.31
96,19638.3,20050.0,6.0,9.55
97,19512.35,19700.0,10.0,82.9
98,19396.45,19450.0,37.0,282.26
99,20901.15,21800.0,84.0,253.45
100,19570.85,20700.0,23.0,8.28
101,19819.95,20300.0,48.0,149.06
102,19306.05,20200.0,31.0,9.02
103,19653.5,21450.0,55.00000000000001,7.42
104,19664.7,19200.0,30.0,615.56
105,21654.75,19600.0,8.0,2018.39
106,19355.9,19650.0,80.0,375.83
107,19435.3,20150.0,27.0,12.35
108,19996.35,18500.0,108.0,1880.54
109,19281.75,21250.0,3.0,6.74
110,19889.7,18800.0,9.0,1096.29
111,19384.3,19050.0,8.0,364.99
112,20901.15,19750.0,0.0,1106.43
113,19794.0,20700.0,48.99999999999999,58.88
114,20192.35,19550.0,6.0,647.75
115,18989.15,19200.0,15.0,102.87
116,19389.0,19300.0,86.00000000000001,630.35
117,18989.15,19650.0,29.0,45.93
118,19428.3,20800.0,48.0,8.35
119,21418.65,23000.0,10.0,6.87
120,19406.7,20700.0,16.0,7.74
121,19638.3,21200.0,62.0,7.97
122,19497.3,19500.0,84.0,558.77
123,20997.1,20600.0,10.0,498.23
124,19355.9,18750.0,80.0,956.26
125,19901.4,19900.0,22.0,244.57
126,19497.3,18550.0,7.0,915.03
127,19979.15,19200.0,42.0,913.98
128,19381.65,20000.0,84.0,289.39
129,20969.4,18600.0,20.0,2374.53
130,21731.4,20700.0,13.0,1049.54
131,19672.35,20000.0,521.0,1906.84
132,19680.6,19900.0,30.0,185.89
133,21453.1,22950.0,72.0,103.93
134,19731.75,24000.0,73.0,7.21
135,19742.35,17000.0,97.99999999999999,3049.53
136,19689.85,19300.0,16.0,412.26
137,18816.7,18750.0,37.0,338.03
138,19659.9,21500.0,63.00000000000001,7.43
139,19523.55,18500.0,0.0,940.78
140,20267.9,16500.0,27.0,3765.58
141,19819.95,19150.0,20.0,740.63
142,19632.55,19750.0,50.0,328.35
143,19811.5,19000.0,9.0,778.02
144,20070.0,21250.0,22.0,8.17
145,19434.55,20050.0,17.0,10.16
146,18972.1,17200.0,64.0,1934.72
147,19783.4,19250.0,37.0,712.57
148,20133.3,19100.0,3.0,1018.1
149,19384.3,18650.0,8.0,736.93
150,19901.4,19650.0,8.0,297.39
151,19523.55,19700.0,21.0,132.16
152,21182.7,22500.0,28.0,8.08
153,18691.2,17400.0,31.0,1373.07
154,19745.0,14000.0,524.0,6736.29
155,19443.5,20600.0,50.0,12.24
156,19653.5,19700.0,6.0,116.88
157,20901.15,19400.0,0.0,1447.88
158,19545.75,21100.0,84.0,18.53
159,19638.3,21200.0,6.0,6.74
160,19574.9,19700.0,16.0,135.84
161,19672.35,21000.0,66.0,51.89
162,18817.4,17250.0,2.0,1552.1
163,20855.1,19000.0,9.0,1769.84
164,20969.4,22000.0,83.0,217.2
165,19745.0,20700.0,69.0,145.82
166,20937.7,21150.0,15.0,158.7
167,19230.6,19600.0,20.0,78.08
168,19322.55,20200.0,17.0,8.88
169,19996.35,19850.0,44.99999999999999,447.61
170,19659.9,19450.0,35.0,433.26
171,19512.35,21700.0,3.0,6.74
172,19675.45,20300.0,43.00000000000001,97.57
173,19783.4,18800.0,2.0,951.12
174,21731.4,21100.0,13.0,740.4
175,20103.1,19850.0,42.0,531.44
176,19395.3,19500.0,0.0,75.51
177,19794.0,20650.0,0.0,8.44
178,19664.7,20600.0,9.0,8.5
179,20906.4,20900.0,44.0,437.11
180,19653.5,21300.0,20.0,6.98
181,19396.45,20800.0,16.0,7.51
182,19434.55,19350.0,73.0,566.62
183,19365.25,19400.0,28.0,248.31
184,19355.9,19050.0,80.0,742.38
185,19047.25,24000.0,153.0,7.6
