,y_test,y_pred
100797,4067.8,4084.527
63894,946.6,979.2666
65910,33.65,52.84771
65843,305.0,327.43298
63916,0.05,36.150223
73848,73.15,80.38231
54280,230.75,237.63766
101462,980.75,982.02234
75945,1.95,4.2496023
87555,387.15,376.25974
101044,20.85,19.64061
94603,36.35,101.90968
74845,121.3,121.15416
76930,594.15,628.82623
91537,225.25,223.0703
97994,1640.0,1620.6976
71660,1360.0,1457.4706
71238,0.05,2.660308
87947,82.05,68.34214
67327,11.1,16.42939
69754,299.75,277.31635
57561,8.6,11.946815
67625,1341.15,1377.0974
60529,226.1,223.58081
85993,871.75,884.2925
54136,270.55,283.64035
88545,1580.1,1583.5675
56568,1473.35,1489.5969
61656,1.1,10.088737
72553,2099.95,2199.3228
100078,738.65,705.16345
58457,422.4,454.4858
57656,507.7,513.22314
97217,7.0,35.139584
99402,53.4,52.07771
77682,1080.2,1164.5546
86041,3.5,2.4387732
81195,242.5,304.4118
98177,15.65,25.88807
91013,756.7,748.14764
69738,779.75,802.0711
77237,361.9,402.25867
77685,945.3,1015.57306
89325,213.2,236.3093
85734,2.1,5.7454596
72211,4.0,8.75553
95509,0.1,76.18183
88397,1450.4,1497.4036
88817,5.4,11.978789
87681,196.8,236.10059
100876,9.35,18.817337
99128,2189.2,2248.7244
76852,388.4,422.28778
64996,3.35,9.067931
101133,48.8,30.604462
92714,725.0,695.38916
53780,3.05,12.586638
68173,385.95,418.26697
85281,1429.65,1490.6505
96677,1338.85,1358.6785
61981,113.1,123.98593
98461,297.25,255.7372
80580,16.2,41.284275
74977,3200.0,3353.3237
69372,84.05,80.496254
72362,6.2,12.537719
80801,20.9,29.716213
101248,319.15,234.13278
63757,173.9,180.72261
75576,79.25,92.8694
91155,67.65,92.00599
100693,8.35,29.196564
60544,23.9,30.031502
58970,47.4,27.823143
81440,3.7,7.2737722
73876,7.15,8.517043
101255,166.85,108.941185
94569,1653.0,1692.4407
72655,1.55,4.7524023
94893,21.25,21.956657
67250,284.25,302.86978
56620,2.75,7.490905
62151,17.15,21.471893
56208,560.25,565.4832
75053,1.1,5.7053976
69938,21.95,51.82541
67604,160.0,158.70552
59776,14.4,18.122864
99917,352.85,351.1725
75938,1.95,5.4941854
62392,0.75,2.995986
97646,194.2,172.03706
58106,3.35,9.676307
85227,8.9,17.242752
91022,397.05,380.43533
82705,2.0,7.9305487
54504,11.65,46.398407
90708,2183.65,2189.5852
73770,181.75,176.741
80504,1.1,4.5921774
97494,451.2,460.96143
97466,1883.25,1930.7303
61220,119.15,89.97172
64600,94.6,117.660904
53605,1955.0,2030.6047
73734,5.55,5.367881
56760,4.65,6.3850546
100862,113.6,90.08232
76156,693.15,734.00214
75397,656.5,714.64685
58810,2.0,4.342246
99581,1000.05,1137.372
74811,2057.75,2157.1462
63246,2.05,4.9178915
77713,38.05,58.93518
60014,3530.0,3662.9204
61961,843.9,908.16266
70584,1591.9,1659.3577
69815,1.05,13.40058
88610,0.75,4.169791
80882,5.25,4.409217
92662,65.9,75.38099
58342,175.2,182.2599
95256,211.0,156.29869
79746,31.2,55.20816
76159,565.6,596.63
63759,148.4,159.25352
74475,4.2,5.0864096
67266,16.65,29.027756
97456,2973.05,3035.178
85322,38.4,61.20116
84903,1.05,5.7592535
52919,1215.0,1244.4462
78268,1.4,5.3305273
56823,19.2,21.766678
74012,16.45,15.823268
